annots,mix,music,sfx,speech
D:\dnr\tr\22792\annots.csv,D:\dnr\tr\22792\mix.wav,D:\dnr\tr\22792\music.wav,D:\dnr\tr\22792\sfx.wav,D:\dnr\tr\22792\speech.wav
D:\dnr\tr\22840\annots.csv,D:\dnr\tr\22840\mix.wav,D:\dnr\tr\22840\music.wav,D:\dnr\tr\22840\sfx.wav,D:\dnr\tr\22840\speech.wav
D:\dnr\tr\22846\annots.csv,D:\dnr\tr\22846\mix.wav,D:\dnr\tr\22846\music.wav,D:\dnr\tr\22846\sfx.wav,D:\dnr\tr\22846\speech.wav
D:\dnr\tr\22863\annots.csv,D:\dnr\tr\22863\mix.wav,D:\dnr\tr\22863\music.wav,D:\dnr\tr\22863\sfx.wav,D:\dnr\tr\22863\speech.wav
D:\dnr\tr\22894\annots.csv,D:\dnr\tr\22894\mix.wav,D:\dnr\tr\22894\music.wav,D:\dnr\tr\22894\sfx.wav,D:\dnr\tr\22894\speech.wav
D:\dnr\tr\22939\annots.csv,D:\dnr\tr\22939\mix.wav,D:\dnr\tr\22939\music.wav,D:\dnr\tr\22939\sfx.wav,D:\dnr\tr\22939\speech.wav
D:\dnr\tr\2294\annots.csv,D:\dnr\tr\2294\mix.wav,D:\dnr\tr\2294\music.wav,D:\dnr\tr\2294\sfx.wav,D:\dnr\tr\2294\speech.wav
D:\dnr\tr\23002\annots.csv,D:\dnr\tr\23002\mix.wav,D:\dnr\tr\23002\music.wav,D:\dnr\tr\23002\sfx.wav,D:\dnr\tr\23002\speech.wav
D:\dnr\tr\23006\annots.csv,D:\dnr\tr\23006\mix.wav,D:\dnr\tr\23006\music.wav,D:\dnr\tr\23006\sfx.wav,D:\dnr\tr\23006\speech.wav
D:\dnr\tr\23153\annots.csv,D:\dnr\tr\23153\mix.wav,D:\dnr\tr\23153\music.wav,D:\dnr\tr\23153\sfx.wav,D:\dnr\tr\23153\speech.wav
D:\dnr\tr\23215\annots.csv,D:\dnr\tr\23215\mix.wav,D:\dnr\tr\23215\music.wav,D:\dnr\tr\23215\sfx.wav,D:\dnr\tr\23215\speech.wav
D:\dnr\tr\23245\annots.csv,D:\dnr\tr\23245\mix.wav,D:\dnr\tr\23245\music.wav,D:\dnr\tr\23245\sfx.wav,D:\dnr\tr\23245\speech.wav
D:\dnr\tr\23290\annots.csv,D:\dnr\tr\23290\mix.wav,D:\dnr\tr\23290\music.wav,D:\dnr\tr\23290\sfx.wav,D:\dnr\tr\23290\speech.wav
D:\dnr\tr\23303\annots.csv,D:\dnr\tr\23303\mix.wav,D:\dnr\tr\23303\music.wav,D:\dnr\tr\23303\sfx.wav,D:\dnr\tr\23303\speech.wav
D:\dnr\tr\23331\annots.csv,D:\dnr\tr\23331\mix.wav,D:\dnr\tr\23331\music.wav,D:\dnr\tr\23331\sfx.wav,D:\dnr\tr\23331\speech.wav
D:\dnr\tr\23376\annots.csv,D:\dnr\tr\23376\mix.wav,D:\dnr\tr\23376\music.wav,D:\dnr\tr\23376\sfx.wav,D:\dnr\tr\23376\speech.wav
D:\dnr\tr\23397\annots.csv,D:\dnr\tr\23397\mix.wav,D:\dnr\tr\23397\music.wav,D:\dnr\tr\23397\sfx.wav,D:\dnr\tr\23397\speech.wav
D:\dnr\tr\23448\annots.csv,D:\dnr\tr\23448\mix.wav,D:\dnr\tr\23448\music.wav,D:\dnr\tr\23448\sfx.wav,D:\dnr\tr\23448\speech.wav
D:\dnr\tr\23464\annots.csv,D:\dnr\tr\23464\mix.wav,D:\dnr\tr\23464\music.wav,D:\dnr\tr\23464\sfx.wav,D:\dnr\tr\23464\speech.wav
D:\dnr\tr\23467\annots.csv,D:\dnr\tr\23467\mix.wav,D:\dnr\tr\23467\music.wav,D:\dnr\tr\23467\sfx.wav,D:\dnr\tr\23467\speech.wav
D:\dnr\tr\23472\annots.csv,D:\dnr\tr\23472\mix.wav,D:\dnr\tr\23472\music.wav,D:\dnr\tr\23472\sfx.wav,D:\dnr\tr\23472\speech.wav
D:\dnr\tr\23478\annots.csv,D:\dnr\tr\23478\mix.wav,D:\dnr\tr\23478\music.wav,D:\dnr\tr\23478\sfx.wav,D:\dnr\tr\23478\speech.wav
D:\dnr\tr\23546\annots.csv,D:\dnr\tr\23546\mix.wav,D:\dnr\tr\23546\music.wav,D:\dnr\tr\23546\sfx.wav,D:\dnr\tr\23546\speech.wav
D:\dnr\tr\23561\annots.csv,D:\dnr\tr\23561\mix.wav,D:\dnr\tr\23561\music.wav,D:\dnr\tr\23561\sfx.wav,D:\dnr\tr\23561\speech.wav
D:\dnr\tr\23578\annots.csv,D:\dnr\tr\23578\mix.wav,D:\dnr\tr\23578\music.wav,D:\dnr\tr\23578\sfx.wav,D:\dnr\tr\23578\speech.wav
D:\dnr\tr\23584\annots.csv,D:\dnr\tr\23584\mix.wav,D:\dnr\tr\23584\music.wav,D:\dnr\tr\23584\sfx.wav,D:\dnr\tr\23584\speech.wav
D:\dnr\tr\236\annots.csv,D:\dnr\tr\236\mix.wav,D:\dnr\tr\236\music.wav,D:\dnr\tr\236\sfx.wav,D:\dnr\tr\236\speech.wav
D:\dnr\tr\2369\annots.csv,D:\dnr\tr\2369\mix.wav,D:\dnr\tr\2369\music.wav,D:\dnr\tr\2369\sfx.wav,D:\dnr\tr\2369\speech.wav
D:\dnr\tr\23694\annots.csv,D:\dnr\tr\23694\mix.wav,D:\dnr\tr\23694\music.wav,D:\dnr\tr\23694\sfx.wav,D:\dnr\tr\23694\speech.wav
D:\dnr\tr\237\annots.csv,D:\dnr\tr\237\mix.wav,D:\dnr\tr\237\music.wav,D:\dnr\tr\237\sfx.wav,D:\dnr\tr\237\speech.wav
D:\dnr\tr\23702\annots.csv,D:\dnr\tr\23702\mix.wav,D:\dnr\tr\23702\music.wav,D:\dnr\tr\23702\sfx.wav,D:\dnr\tr\23702\speech.wav
D:\dnr\tr\23764\annots.csv,D:\dnr\tr\23764\mix.wav,D:\dnr\tr\23764\music.wav,D:\dnr\tr\23764\sfx.wav,D:\dnr\tr\23764\speech.wav
D:\dnr\tr\23780\annots.csv,D:\dnr\tr\23780\mix.wav,D:\dnr\tr\23780\music.wav,D:\dnr\tr\23780\sfx.wav,D:\dnr\tr\23780\speech.wav
D:\dnr\tr\23800\annots.csv,D:\dnr\tr\23800\mix.wav,D:\dnr\tr\23800\music.wav,D:\dnr\tr\23800\sfx.wav,D:\dnr\tr\23800\speech.wav
D:\dnr\tr\23819\annots.csv,D:\dnr\tr\23819\mix.wav,D:\dnr\tr\23819\music.wav,D:\dnr\tr\23819\sfx.wav,D:\dnr\tr\23819\speech.wav
D:\dnr\tr\23826\annots.csv,D:\dnr\tr\23826\mix.wav,D:\dnr\tr\23826\music.wav,D:\dnr\tr\23826\sfx.wav,D:\dnr\tr\23826\speech.wav
D:\dnr\tr\2384\annots.csv,D:\dnr\tr\2384\mix.wav,D:\dnr\tr\2384\music.wav,D:\dnr\tr\2384\sfx.wav,D:\dnr\tr\2384\speech.wav
D:\dnr\tr\23844\annots.csv,D:\dnr\tr\23844\mix.wav,D:\dnr\tr\23844\music.wav,D:\dnr\tr\23844\sfx.wav,D:\dnr\tr\23844\speech.wav
D:\dnr\tr\23868\annots.csv,D:\dnr\tr\23868\mix.wav,D:\dnr\tr\23868\music.wav,D:\dnr\tr\23868\sfx.wav,D:\dnr\tr\23868\speech.wav
D:\dnr\tr\23908\annots.csv,D:\dnr\tr\23908\mix.wav,D:\dnr\tr\23908\music.wav,D:\dnr\tr\23908\sfx.wav,D:\dnr\tr\23908\speech.wav
D:\dnr\tr\23911\annots.csv,D:\dnr\tr\23911\mix.wav,D:\dnr\tr\23911\music.wav,D:\dnr\tr\23911\sfx.wav,D:\dnr\tr\23911\speech.wav
D:\dnr\tr\23913\annots.csv,D:\dnr\tr\23913\mix.wav,D:\dnr\tr\23913\music.wav,D:\dnr\tr\23913\sfx.wav,D:\dnr\tr\23913\speech.wav
D:\dnr\tr\23924\annots.csv,D:\dnr\tr\23924\mix.wav,D:\dnr\tr\23924\music.wav,D:\dnr\tr\23924\sfx.wav,D:\dnr\tr\23924\speech.wav
D:\dnr\tr\23937\annots.csv,D:\dnr\tr\23937\mix.wav,D:\dnr\tr\23937\music.wav,D:\dnr\tr\23937\sfx.wav,D:\dnr\tr\23937\speech.wav
D:\dnr\tr\23939\annots.csv,D:\dnr\tr\23939\mix.wav,D:\dnr\tr\23939\music.wav,D:\dnr\tr\23939\sfx.wav,D:\dnr\tr\23939\speech.wav
D:\dnr\tr\23959\annots.csv,D:\dnr\tr\23959\mix.wav,D:\dnr\tr\23959\music.wav,D:\dnr\tr\23959\sfx.wav,D:\dnr\tr\23959\speech.wav
D:\dnr\tr\23963\annots.csv,D:\dnr\tr\23963\mix.wav,D:\dnr\tr\23963\music.wav,D:\dnr\tr\23963\sfx.wav,D:\dnr\tr\23963\speech.wav
D:\dnr\tr\23988\annots.csv,D:\dnr\tr\23988\mix.wav,D:\dnr\tr\23988\music.wav,D:\dnr\tr\23988\sfx.wav,D:\dnr\tr\23988\speech.wav
D:\dnr\tr\23996\annots.csv,D:\dnr\tr\23996\mix.wav,D:\dnr\tr\23996\music.wav,D:\dnr\tr\23996\sfx.wav,D:\dnr\tr\23996\speech.wav
D:\dnr\tr\24025\annots.csv,D:\dnr\tr\24025\mix.wav,D:\dnr\tr\24025\music.wav,D:\dnr\tr\24025\sfx.wav,D:\dnr\tr\24025\speech.wav
D:\dnr\tr\24044\annots.csv,D:\dnr\tr\24044\mix.wav,D:\dnr\tr\24044\music.wav,D:\dnr\tr\24044\sfx.wav,D:\dnr\tr\24044\speech.wav
D:\dnr\tr\24064\annots.csv,D:\dnr\tr\24064\mix.wav,D:\dnr\tr\24064\music.wav,D:\dnr\tr\24064\sfx.wav,D:\dnr\tr\24064\speech.wav
D:\dnr\tr\24065\annots.csv,D:\dnr\tr\24065\mix.wav,D:\dnr\tr\24065\music.wav,D:\dnr\tr\24065\sfx.wav,D:\dnr\tr\24065\speech.wav
D:\dnr\tr\24071\annots.csv,D:\dnr\tr\24071\mix.wav,D:\dnr\tr\24071\music.wav,D:\dnr\tr\24071\sfx.wav,D:\dnr\tr\24071\speech.wav
D:\dnr\tr\24089\annots.csv,D:\dnr\tr\24089\mix.wav,D:\dnr\tr\24089\music.wav,D:\dnr\tr\24089\sfx.wav,D:\dnr\tr\24089\speech.wav
D:\dnr\tr\24154\annots.csv,D:\dnr\tr\24154\mix.wav,D:\dnr\tr\24154\music.wav,D:\dnr\tr\24154\sfx.wav,D:\dnr\tr\24154\speech.wav
D:\dnr\tr\2417\annots.csv,D:\dnr\tr\2417\mix.wav,D:\dnr\tr\2417\music.wav,D:\dnr\tr\2417\sfx.wav,D:\dnr\tr\2417\speech.wav
D:\dnr\tr\24171\annots.csv,D:\dnr\tr\24171\mix.wav,D:\dnr\tr\24171\music.wav,D:\dnr\tr\24171\sfx.wav,D:\dnr\tr\24171\speech.wav
D:\dnr\tr\24222\annots.csv,D:\dnr\tr\24222\mix.wav,D:\dnr\tr\24222\music.wav,D:\dnr\tr\24222\sfx.wav,D:\dnr\tr\24222\speech.wav
D:\dnr\tr\2423\annots.csv,D:\dnr\tr\2423\mix.wav,D:\dnr\tr\2423\music.wav,D:\dnr\tr\2423\sfx.wav,D:\dnr\tr\2423\speech.wav
D:\dnr\tr\2428\annots.csv,D:\dnr\tr\2428\mix.wav,D:\dnr\tr\2428\music.wav,D:\dnr\tr\2428\sfx.wav,D:\dnr\tr\2428\speech.wav
D:\dnr\tr\24287\annots.csv,D:\dnr\tr\24287\mix.wav,D:\dnr\tr\24287\music.wav,D:\dnr\tr\24287\sfx.wav,D:\dnr\tr\24287\speech.wav
D:\dnr\tr\2429\annots.csv,D:\dnr\tr\2429\mix.wav,D:\dnr\tr\2429\music.wav,D:\dnr\tr\2429\sfx.wav,D:\dnr\tr\2429\speech.wav
D:\dnr\tr\24320\annots.csv,D:\dnr\tr\24320\mix.wav,D:\dnr\tr\24320\music.wav,D:\dnr\tr\24320\sfx.wav,D:\dnr\tr\24320\speech.wav
D:\dnr\tr\24326\annots.csv,D:\dnr\tr\24326\mix.wav,D:\dnr\tr\24326\music.wav,D:\dnr\tr\24326\sfx.wav,D:\dnr\tr\24326\speech.wav
D:\dnr\tr\24331\annots.csv,D:\dnr\tr\24331\mix.wav,D:\dnr\tr\24331\music.wav,D:\dnr\tr\24331\sfx.wav,D:\dnr\tr\24331\speech.wav
D:\dnr\tr\24390\annots.csv,D:\dnr\tr\24390\mix.wav,D:\dnr\tr\24390\music.wav,D:\dnr\tr\24390\sfx.wav,D:\dnr\tr\24390\speech.wav
D:\dnr\tr\24422\annots.csv,D:\dnr\tr\24422\mix.wav,D:\dnr\tr\24422\music.wav,D:\dnr\tr\24422\sfx.wav,D:\dnr\tr\24422\speech.wav
D:\dnr\tr\24446\annots.csv,D:\dnr\tr\24446\mix.wav,D:\dnr\tr\24446\music.wav,D:\dnr\tr\24446\sfx.wav,D:\dnr\tr\24446\speech.wav
D:\dnr\tr\24461\annots.csv,D:\dnr\tr\24461\mix.wav,D:\dnr\tr\24461\music.wav,D:\dnr\tr\24461\sfx.wav,D:\dnr\tr\24461\speech.wav
D:\dnr\tr\24512\annots.csv,D:\dnr\tr\24512\mix.wav,D:\dnr\tr\24512\music.wav,D:\dnr\tr\24512\sfx.wav,D:\dnr\tr\24512\speech.wav
D:\dnr\tr\24529\annots.csv,D:\dnr\tr\24529\mix.wav,D:\dnr\tr\24529\music.wav,D:\dnr\tr\24529\sfx.wav,D:\dnr\tr\24529\speech.wav
D:\dnr\tr\24569\annots.csv,D:\dnr\tr\24569\mix.wav,D:\dnr\tr\24569\music.wav,D:\dnr\tr\24569\sfx.wav,D:\dnr\tr\24569\speech.wav
D:\dnr\tr\24601\annots.csv,D:\dnr\tr\24601\mix.wav,D:\dnr\tr\24601\music.wav,D:\dnr\tr\24601\sfx.wav,D:\dnr\tr\24601\speech.wav
D:\dnr\tr\24602\annots.csv,D:\dnr\tr\24602\mix.wav,D:\dnr\tr\24602\music.wav,D:\dnr\tr\24602\sfx.wav,D:\dnr\tr\24602\speech.wav
D:\dnr\tr\24611\annots.csv,D:\dnr\tr\24611\mix.wav,D:\dnr\tr\24611\music.wav,D:\dnr\tr\24611\sfx.wav,D:\dnr\tr\24611\speech.wav
D:\dnr\tr\24642\annots.csv,D:\dnr\tr\24642\mix.wav,D:\dnr\tr\24642\music.wav,D:\dnr\tr\24642\sfx.wav,D:\dnr\tr\24642\speech.wav
D:\dnr\tr\24685\annots.csv,D:\dnr\tr\24685\mix.wav,D:\dnr\tr\24685\music.wav,D:\dnr\tr\24685\sfx.wav,D:\dnr\tr\24685\speech.wav
D:\dnr\tr\247\annots.csv,D:\dnr\tr\247\mix.wav,D:\dnr\tr\247\music.wav,D:\dnr\tr\247\sfx.wav,D:\dnr\tr\247\speech.wav
D:\dnr\tr\24706\annots.csv,D:\dnr\tr\24706\mix.wav,D:\dnr\tr\24706\music.wav,D:\dnr\tr\24706\sfx.wav,D:\dnr\tr\24706\speech.wav
D:\dnr\tr\24741\annots.csv,D:\dnr\tr\24741\mix.wav,D:\dnr\tr\24741\music.wav,D:\dnr\tr\24741\sfx.wav,D:\dnr\tr\24741\speech.wav
D:\dnr\tr\24767\annots.csv,D:\dnr\tr\24767\mix.wav,D:\dnr\tr\24767\music.wav,D:\dnr\tr\24767\sfx.wav,D:\dnr\tr\24767\speech.wav
D:\dnr\tr\24776\annots.csv,D:\dnr\tr\24776\mix.wav,D:\dnr\tr\24776\music.wav,D:\dnr\tr\24776\sfx.wav,D:\dnr\tr\24776\speech.wav
D:\dnr\tr\24780\annots.csv,D:\dnr\tr\24780\mix.wav,D:\dnr\tr\24780\music.wav,D:\dnr\tr\24780\sfx.wav,D:\dnr\tr\24780\speech.wav
D:\dnr\tr\24789\annots.csv,D:\dnr\tr\24789\mix.wav,D:\dnr\tr\24789\music.wav,D:\dnr\tr\24789\sfx.wav,D:\dnr\tr\24789\speech.wav
D:\dnr\tr\2479\annots.csv,D:\dnr\tr\2479\mix.wav,D:\dnr\tr\2479\music.wav,D:\dnr\tr\2479\sfx.wav,D:\dnr\tr\2479\speech.wav
D:\dnr\tr\24807\annots.csv,D:\dnr\tr\24807\mix.wav,D:\dnr\tr\24807\music.wav,D:\dnr\tr\24807\sfx.wav,D:\dnr\tr\24807\speech.wav
D:\dnr\tr\24812\annots.csv,D:\dnr\tr\24812\mix.wav,D:\dnr\tr\24812\music.wav,D:\dnr\tr\24812\sfx.wav,D:\dnr\tr\24812\speech.wav
D:\dnr\tr\24856\annots.csv,D:\dnr\tr\24856\mix.wav,D:\dnr\tr\24856\music.wav,D:\dnr\tr\24856\sfx.wav,D:\dnr\tr\24856\speech.wav
D:\dnr\tr\24898\annots.csv,D:\dnr\tr\24898\mix.wav,D:\dnr\tr\24898\music.wav,D:\dnr\tr\24898\sfx.wav,D:\dnr\tr\24898\speech.wav
D:\dnr\tr\24900\annots.csv,D:\dnr\tr\24900\mix.wav,D:\dnr\tr\24900\music.wav,D:\dnr\tr\24900\sfx.wav,D:\dnr\tr\24900\speech.wav
D:\dnr\tr\24905\annots.csv,D:\dnr\tr\24905\mix.wav,D:\dnr\tr\24905\music.wav,D:\dnr\tr\24905\sfx.wav,D:\dnr\tr\24905\speech.wav
D:\dnr\tr\24906\annots.csv,D:\dnr\tr\24906\mix.wav,D:\dnr\tr\24906\music.wav,D:\dnr\tr\24906\sfx.wav,D:\dnr\tr\24906\speech.wav
D:\dnr\tr\2494\annots.csv,D:\dnr\tr\2494\mix.wav,D:\dnr\tr\2494\music.wav,D:\dnr\tr\2494\sfx.wav,D:\dnr\tr\2494\speech.wav
D:\dnr\tr\24944\annots.csv,D:\dnr\tr\24944\mix.wav,D:\dnr\tr\24944\music.wav,D:\dnr\tr\24944\sfx.wav,D:\dnr\tr\24944\speech.wav
D:\dnr\tr\24993\annots.csv,D:\dnr\tr\24993\mix.wav,D:\dnr\tr\24993\music.wav,D:\dnr\tr\24993\sfx.wav,D:\dnr\tr\24993\speech.wav
D:\dnr\tr\25000\annots.csv,D:\dnr\tr\25000\mix.wav,D:\dnr\tr\25000\music.wav,D:\dnr\tr\25000\sfx.wav,D:\dnr\tr\25000\speech.wav
D:\dnr\tr\25014\annots.csv,D:\dnr\tr\25014\mix.wav,D:\dnr\tr\25014\music.wav,D:\dnr\tr\25014\sfx.wav,D:\dnr\tr\25014\speech.wav
D:\dnr\tr\25030\annots.csv,D:\dnr\tr\25030\mix.wav,D:\dnr\tr\25030\music.wav,D:\dnr\tr\25030\sfx.wav,D:\dnr\tr\25030\speech.wav
D:\dnr\tr\25048\annots.csv,D:\dnr\tr\25048\mix.wav,D:\dnr\tr\25048\music.wav,D:\dnr\tr\25048\sfx.wav,D:\dnr\tr\25048\speech.wav
D:\dnr\tr\25073\annots.csv,D:\dnr\tr\25073\mix.wav,D:\dnr\tr\25073\music.wav,D:\dnr\tr\25073\sfx.wav,D:\dnr\tr\25073\speech.wav
D:\dnr\tr\2510\annots.csv,D:\dnr\tr\2510\mix.wav,D:\dnr\tr\2510\music.wav,D:\dnr\tr\2510\sfx.wav,D:\dnr\tr\2510\speech.wav
D:\dnr\tr\25159\annots.csv,D:\dnr\tr\25159\mix.wav,D:\dnr\tr\25159\music.wav,D:\dnr\tr\25159\sfx.wav,D:\dnr\tr\25159\speech.wav
D:\dnr\tr\25199\annots.csv,D:\dnr\tr\25199\mix.wav,D:\dnr\tr\25199\music.wav,D:\dnr\tr\25199\sfx.wav,D:\dnr\tr\25199\speech.wav
D:\dnr\tr\25208\annots.csv,D:\dnr\tr\25208\mix.wav,D:\dnr\tr\25208\music.wav,D:\dnr\tr\25208\sfx.wav,D:\dnr\tr\25208\speech.wav
D:\dnr\tr\25243\annots.csv,D:\dnr\tr\25243\mix.wav,D:\dnr\tr\25243\music.wav,D:\dnr\tr\25243\sfx.wav,D:\dnr\tr\25243\speech.wav
D:\dnr\tr\25355\annots.csv,D:\dnr\tr\25355\mix.wav,D:\dnr\tr\25355\music.wav,D:\dnr\tr\25355\sfx.wav,D:\dnr\tr\25355\speech.wav
D:\dnr\tr\25412\annots.csv,D:\dnr\tr\25412\mix.wav,D:\dnr\tr\25412\music.wav,D:\dnr\tr\25412\sfx.wav,D:\dnr\tr\25412\speech.wav
D:\dnr\tr\25438\annots.csv,D:\dnr\tr\25438\mix.wav,D:\dnr\tr\25438\music.wav,D:\dnr\tr\25438\sfx.wav,D:\dnr\tr\25438\speech.wav
D:\dnr\tr\2554\annots.csv,D:\dnr\tr\2554\mix.wav,D:\dnr\tr\2554\music.wav,D:\dnr\tr\2554\sfx.wav,D:\dnr\tr\2554\speech.wav
D:\dnr\tr\25568\annots.csv,D:\dnr\tr\25568\mix.wav,D:\dnr\tr\25568\music.wav,D:\dnr\tr\25568\sfx.wav,D:\dnr\tr\25568\speech.wav
D:\dnr\tr\2557\annots.csv,D:\dnr\tr\2557\mix.wav,D:\dnr\tr\2557\music.wav,D:\dnr\tr\2557\sfx.wav,D:\dnr\tr\2557\speech.wav
D:\dnr\tr\25581\annots.csv,D:\dnr\tr\25581\mix.wav,D:\dnr\tr\25581\music.wav,D:\dnr\tr\25581\sfx.wav,D:\dnr\tr\25581\speech.wav
D:\dnr\tr\25586\annots.csv,D:\dnr\tr\25586\mix.wav,D:\dnr\tr\25586\music.wav,D:\dnr\tr\25586\sfx.wav,D:\dnr\tr\25586\speech.wav
D:\dnr\tr\25690\annots.csv,D:\dnr\tr\25690\mix.wav,D:\dnr\tr\25690\music.wav,D:\dnr\tr\25690\sfx.wav,D:\dnr\tr\25690\speech.wav
D:\dnr\tr\25705\annots.csv,D:\dnr\tr\25705\mix.wav,D:\dnr\tr\25705\music.wav,D:\dnr\tr\25705\sfx.wav,D:\dnr\tr\25705\speech.wav
D:\dnr\tr\25707\annots.csv,D:\dnr\tr\25707\mix.wav,D:\dnr\tr\25707\music.wav,D:\dnr\tr\25707\sfx.wav,D:\dnr\tr\25707\speech.wav
D:\dnr\tr\25735\annots.csv,D:\dnr\tr\25735\mix.wav,D:\dnr\tr\25735\music.wav,D:\dnr\tr\25735\sfx.wav,D:\dnr\tr\25735\speech.wav
D:\dnr\tr\25742\annots.csv,D:\dnr\tr\25742\mix.wav,D:\dnr\tr\25742\music.wav,D:\dnr\tr\25742\sfx.wav,D:\dnr\tr\25742\speech.wav
D:\dnr\tr\25748\annots.csv,D:\dnr\tr\25748\mix.wav,D:\dnr\tr\25748\music.wav,D:\dnr\tr\25748\sfx.wav,D:\dnr\tr\25748\speech.wav
D:\dnr\tr\25781\annots.csv,D:\dnr\tr\25781\mix.wav,D:\dnr\tr\25781\music.wav,D:\dnr\tr\25781\sfx.wav,D:\dnr\tr\25781\speech.wav
D:\dnr\tr\25851\annots.csv,D:\dnr\tr\25851\mix.wav,D:\dnr\tr\25851\music.wav,D:\dnr\tr\25851\sfx.wav,D:\dnr\tr\25851\speech.wav
D:\dnr\tr\25890\annots.csv,D:\dnr\tr\25890\mix.wav,D:\dnr\tr\25890\music.wav,D:\dnr\tr\25890\sfx.wav,D:\dnr\tr\25890\speech.wav
D:\dnr\tr\25905\annots.csv,D:\dnr\tr\25905\mix.wav,D:\dnr\tr\25905\music.wav,D:\dnr\tr\25905\sfx.wav,D:\dnr\tr\25905\speech.wav
D:\dnr\tr\2596\annots.csv,D:\dnr\tr\2596\mix.wav,D:\dnr\tr\2596\music.wav,D:\dnr\tr\2596\sfx.wav,D:\dnr\tr\2596\speech.wav
D:\dnr\tr\25966\annots.csv,D:\dnr\tr\25966\mix.wav,D:\dnr\tr\25966\music.wav,D:\dnr\tr\25966\sfx.wav,D:\dnr\tr\25966\speech.wav
D:\dnr\tr\25967\annots.csv,D:\dnr\tr\25967\mix.wav,D:\dnr\tr\25967\music.wav,D:\dnr\tr\25967\sfx.wav,D:\dnr\tr\25967\speech.wav
D:\dnr\tr\25975\annots.csv,D:\dnr\tr\25975\mix.wav,D:\dnr\tr\25975\music.wav,D:\dnr\tr\25975\sfx.wav,D:\dnr\tr\25975\speech.wav
D:\dnr\tr\25984\annots.csv,D:\dnr\tr\25984\mix.wav,D:\dnr\tr\25984\music.wav,D:\dnr\tr\25984\sfx.wav,D:\dnr\tr\25984\speech.wav
D:\dnr\tr\26008\annots.csv,D:\dnr\tr\26008\mix.wav,D:\dnr\tr\26008\music.wav,D:\dnr\tr\26008\sfx.wav,D:\dnr\tr\26008\speech.wav
D:\dnr\tr\2601\annots.csv,D:\dnr\tr\2601\mix.wav,D:\dnr\tr\2601\music.wav,D:\dnr\tr\2601\sfx.wav,D:\dnr\tr\2601\speech.wav
D:\dnr\tr\26017\annots.csv,D:\dnr\tr\26017\mix.wav,D:\dnr\tr\26017\music.wav,D:\dnr\tr\26017\sfx.wav,D:\dnr\tr\26017\speech.wav
D:\dnr\tr\26069\annots.csv,D:\dnr\tr\26069\mix.wav,D:\dnr\tr\26069\music.wav,D:\dnr\tr\26069\sfx.wav,D:\dnr\tr\26069\speech.wav
D:\dnr\tr\26103\annots.csv,D:\dnr\tr\26103\mix.wav,D:\dnr\tr\26103\music.wav,D:\dnr\tr\26103\sfx.wav,D:\dnr\tr\26103\speech.wav
D:\dnr\tr\26117\annots.csv,D:\dnr\tr\26117\mix.wav,D:\dnr\tr\26117\music.wav,D:\dnr\tr\26117\sfx.wav,D:\dnr\tr\26117\speech.wav
D:\dnr\tr\26213\annots.csv,D:\dnr\tr\26213\mix.wav,D:\dnr\tr\26213\music.wav,D:\dnr\tr\26213\sfx.wav,D:\dnr\tr\26213\speech.wav
D:\dnr\tr\26217\annots.csv,D:\dnr\tr\26217\mix.wav,D:\dnr\tr\26217\music.wav,D:\dnr\tr\26217\sfx.wav,D:\dnr\tr\26217\speech.wav
D:\dnr\tr\26218\annots.csv,D:\dnr\tr\26218\mix.wav,D:\dnr\tr\26218\music.wav,D:\dnr\tr\26218\sfx.wav,D:\dnr\tr\26218\speech.wav
D:\dnr\tr\26230\annots.csv,D:\dnr\tr\26230\mix.wav,D:\dnr\tr\26230\music.wav,D:\dnr\tr\26230\sfx.wav,D:\dnr\tr\26230\speech.wav
D:\dnr\tr\26238\annots.csv,D:\dnr\tr\26238\mix.wav,D:\dnr\tr\26238\music.wav,D:\dnr\tr\26238\sfx.wav,D:\dnr\tr\26238\speech.wav
D:\dnr\tr\26252\annots.csv,D:\dnr\tr\26252\mix.wav,D:\dnr\tr\26252\music.wav,D:\dnr\tr\26252\sfx.wav,D:\dnr\tr\26252\speech.wav
D:\dnr\tr\26254\annots.csv,D:\dnr\tr\26254\mix.wav,D:\dnr\tr\26254\music.wav,D:\dnr\tr\26254\sfx.wav,D:\dnr\tr\26254\speech.wav
D:\dnr\tr\26256\annots.csv,D:\dnr\tr\26256\mix.wav,D:\dnr\tr\26256\music.wav,D:\dnr\tr\26256\sfx.wav,D:\dnr\tr\26256\speech.wav
D:\dnr\tr\26301\annots.csv,D:\dnr\tr\26301\mix.wav,D:\dnr\tr\26301\music.wav,D:\dnr\tr\26301\sfx.wav,D:\dnr\tr\26301\speech.wav
D:\dnr\tr\26338\annots.csv,D:\dnr\tr\26338\mix.wav,D:\dnr\tr\26338\music.wav,D:\dnr\tr\26338\sfx.wav,D:\dnr\tr\26338\speech.wav
D:\dnr\tr\26347\annots.csv,D:\dnr\tr\26347\mix.wav,D:\dnr\tr\26347\music.wav,D:\dnr\tr\26347\sfx.wav,D:\dnr\tr\26347\speech.wav
D:\dnr\tr\26377\annots.csv,D:\dnr\tr\26377\mix.wav,D:\dnr\tr\26377\music.wav,D:\dnr\tr\26377\sfx.wav,D:\dnr\tr\26377\speech.wav
